id;name;ingredients;recipe;type;cuisine;minutes;calories;image;accepted
1;Штрудель яблочный;Мука 250, яйцо 1 шт., масло растительное 40, вода кипяченая теплая 60, уксус 2, масло или маргарин для смазывания 10, для начинки: яблоки 1000, изюм 50, миндаль 50, сухари толченые 50, сахар 100, корица 3, пудра сахарная 50, масло сливочное 10, соль 3.;В муку вводят яйцо, соль, масло, воду, уксус и приготавливают крутое тесто. Тесто не мешают, а выбивают о доску, пока оно не  перестанет прилипать к рукам и не появятся пузыри. Доску  посыпают мукой, кладут ком теста, слегка смачивают его  тепловатой водой, накрывают нагретой миской и оставляют на 30  мин. На свободный стол стелют салфетку, посыпают ее мукой,  кладут на нее предварительно раскатанное до толщины 5мм тесто,  подкладывают руку под салфетку и растягивают тесто от центра к  краям до толщины папиросной бумаги, оставшиеся толстые края  обрезают, образовавшиеся дырки заклеивают кусочками теста и тоже  растягивают. Дают тесту обсохнуть, затем смазывают его  растительным маслом или маргарином и 2/3 поверхности пласта  покрывают подготовленной начинкой. Приподнимая салфетку с одного  конца, сворачивают струдель, кладут его на противень, смазывают  растопленным маслом и пекут 45 минут в жарочном шкафу при  средней температуре, периодически сбрызгивая маслом. Горячий  струдель разрезают на куски толщиной 5-6 см и густо посыпают  сахарной пудрой. Начинку готовят так: яблоки очищают и нарезают тонкими ломтиками. Сухари, слегка поджаренные в масле, рассыпают по  смазанному маслом тесту, распределяют ровным слоем яблоки, изюм  и дробленый миндаль или орехи и посыпают сахаром, смешанным с  корицей.;Вторые блюда;Австрийская кухня;45;274;photo1.jpg;true
2;Фасоль по-американски;Фасоль 80, грудинка копченая 50, масло сливочное 20, лук репчатый 10, томат-пюре 10, зелень петрушки 5.;Мелко нарезанный лук пассируют в масле, добавляют томат-пюре и нарезанную соломкой копченую свиную грудинку, все вместе  поджаривают, заливают бульоном и варят, пока грудинка не станет  мягкой, после чего смешивают с отварной фасолью и тушат еще 10- 15 мин. Перед подачей посыпают мелко нарезанной зеленью  петрушки.;Вторые блюда;Американская кухня;15;73;photo2.jpg;true
3;Шашлык по-азербайджански;На 4 порции. Баранина (почечная часть или мякоть задней ноги) - 600 г. лук репчатый - 2 головки, уксус - 5 ст. л. масло сливочное - 25 г. лук зеленый - 100 г. помидоры свежие - 4 шт. соус ткемали - 3--4 ст. л. барбарис сушеный или свежий - 12-16 шт. лимон - 1 шт. укроп, зелень петрушки, соль, перец по вкусу.;Баранину нарезать кусками в форме кубиков (по 30-40 г.), положить в фарфоровую или эмалированную посуду, посолить,  посыпать молотым перцем, добавить мелко нарезанный или натертый  репчатый лук, зелень петрушки, винный уксус или лимонный сок,  перемешать, накрыть крышкой и поставить на 4-5 часов в холодное  место. Молодую баранину мариновать без добавления уксуса Куски мяса  нанизать на шампуры, смазать сливочным маслом и жарить до полной  готовности над раскаленными древесными углями баз пламени,  непрерывно повертывая шампуры. Готовый шашлык уложить на блюдо, украсить зеленью. Отдельно  подать крупно нарезанный зеленый лук, свежие помидоры, дольки  лимона, соус ткемали и барбарис.;Вторые блюда;Азербайджанская кухня;60;141;photo3.jpg;true
4;"Салат ""Минский""";Картофель 140, шампиньоны 60, лук репчатый 25, капуста квашенная 35, масло растительное 10, уксус (3%) 3, сахар 3.;К отварному картофелю, нарезанному мелкими ломтиками, добавляют нашинкованные капусту, репчатый лук и вареные шампиньоны.  Заправляют салат уксусом, растительным маслом и сахаром.;Салаты;Белорусская кухня;15;135;1130091.jpg;true
5;Суп из шампиньонов;Шампиньоны 100, масло сливочное 10, лук репчатый 10, мука 5, бульон 200, смета а 30, яйцо 1/2 шт., зелень петрушки 5, перец молотый, соль.;К отварному картофелю, нарезанному мелкими ломтиками, добавляют нашинкованные капусту, репчатый лук и вареные шампиньоны.  Заправляют салат уксусом, растительным маслом и сахаром.;Первые блюда;Бельгийская кухня;10;29;p_O.jpg;true
6;Харчо по-грузински;Говядина 190, или баранина 180, рис 25, жир животный 10, лук репчатый 30, чеснок 3, томат-пюре 10, ткемали 10, или лаваш кислый 4, хмели-сунели 0,4, специи, перец стручковый, кинза 10, соль.;Грудинку (Кость предварительно удаляют) рубят вместе с хрящами кусочками по 25-30 г, заливают холодной водой и варят,  периодически снимая пену. Затем кладут замоченный в воде рис,  пассированный лук, доводят блюдо до готовности, заправляют  соусом ткемали, рубленой зеленью кинзы, толченым чесноком,  хмели-сунели, перцем, лавром, солью и кипятят еще 3-5 мин.;Первые блюда;Грузинская кухня;90;90;recept_4443_r9s1.jpg;true
7;Салат датский;Макароны 80, морковь 30, сельдерей (Корень) 20, капуста цветная 50, ветчина 80, масло растительное 10, уксус 5, майонез 10, горчица 2, соль.;Макароны отваривают в соленой воде. Морковь и корень сельдерея, нарезаные кубиками, цветную капусту, разобраную на кочешки,  отваривают в подсоленной воде, не давая развариться. Охлажденные  овощи перемешивают с макаронами, заправляют майонезом,  растительным маслом, уксусом, горчицей и добавляют нарезанную  полосками ветчину или колбасу.;Салаты;Датская кухня;20;185;datskii-salat-iz-vermisheli_1287917984_0.jpg;true
8;Курица соленая с ананасом;Курица 200, ананас 200, майонез 20, сливки 20, салат зеленый 10, соль, сахар.;Воду кипятят с солью и сахаром и охлаждают. Курицу потрошат, вымывают, разделяют на порции и выдерживают в приготовленном  рассоле в теч 2 дней, время от времени переворачивая. Затем  тушку вынимают, отваривают в небольшом количестве воды, снимают  с нее кожу и мякоть отделяют от костей. Майонез смешивают со  сливками и добавляют немного ананасового сока. Куски курицы  укладывают на листья салата, посыпают их тертым ананасом и  поливают соусом. Отдельно подают запеченный картофель.;Вторые блюда;Датская кухня;3;126;df88fa1f0e79df0352be18935e6e27e1.jpg;true
9;Салат египетский ;Фисташки 60, помидоры 120, лук репчатый 25, перец красный молотый, соль.;Помидоры очищают от кожицы, удаляют семена, мелко нарезают, смешивают с нашинкованным луком, толчеными фисташками, солью и  молотым красным перцем. Смесь должна постоять 10 минут, после  чего салат готов к подаче на стол.;Салаты;Египетская кухня;10;186;p_O_1.jpg;true
10;Салат индийский;"Фасоль 50, картофель 50, помидоры 25, масло растительное 10, лук 25, чеснок 2, порошок ""Карри"" 2, лимон 1/6 шт., соль.";"Нашинкованный лук и чеснок обжаривают в масле до золотистого цвета, всыпают порошок ""Карри"", выдержав на огне 3 минут, кладут  нарезанные помидоры и отварную фасоль, затем мелко нарезанный  картофель. Перед подачей добавляют лимонный сок и соль.";Вторые блюда;Индийская кухня;120;150;unnamed.jpg;true
